2025-01-14 14:29:00.691 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-14 14:29:00.777 [main] INFO  [] com.bantanger.test.ApiTest - Starting ApiTest using Java 17.0.13 with PID 22988 (started by 12902 in E:\JavaProjectManager\Persevere\bt-system-center\bt-system-center-app)
2025-01-14 14:29:00.780 [main] INFO  [] com.bantanger.test.ApiTest - The following 1 profile is active: "dev"
2025-01-14 14:29:04.721 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-14 14:29:05.393 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 488 ms. Found 2 JPA repository interfaces.
2025-01-14 14:29:06.908 [main] INFO  [] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-14 14:29:07.135 [main] INFO  [] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-01-14 14:29:07.259 [main] INFO  [] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-14 14:29:08.239 [main] INFO  [] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-14 14:29:08.307 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-01-14 14:29:08.836 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4243341e
2025-01-14 14:29:08.840 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-01-14 14:29:11.503 [main] INFO  [] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-14 14:29:11.700 [main] INFO  [] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 14:29:15.236 [main] INFO  [] com.bantanger.test.ApiTest - Started ApiTest in 16.296 seconds (process running for 18.929)
2025-01-14 14:29:16.543 [SpringApplicationShutdownHook] INFO  [] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 14:29:16.547 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-01-14 14:29:16.576 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-01-14 14:29:37.476 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-14 14:29:37.559 [main] INFO  [] com.bantanger.test.ApiTest - Starting ApiTest using Java 17.0.13 with PID 31224 (started by 12902 in E:\JavaProjectManager\Persevere\bt-system-center\bt-system-center-app)
2025-01-14 14:29:37.561 [main] INFO  [] com.bantanger.test.ApiTest - The following 1 profile is active: "dev"
2025-01-14 14:29:39.404 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-14 14:29:39.629 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 191 ms. Found 2 JPA repository interfaces.
2025-01-14 14:29:40.801 [main] INFO  [] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-14 14:29:40.945 [main] INFO  [] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-01-14 14:29:41.030 [main] INFO  [] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-14 14:29:41.580 [main] INFO  [] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-14 14:29:41.648 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-01-14 14:29:41.903 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@77b71c9
2025-01-14 14:29:41.907 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-01-14 14:29:43.955 [main] INFO  [] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-14 14:29:44.128 [main] INFO  [] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 14:29:47.110 [main] INFO  [] com.bantanger.test.ApiTest - Started ApiTest in 10.999 seconds (process running for 12.638)
2025-01-14 14:29:48.527 [SpringApplicationShutdownHook] INFO  [] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 14:29:48.535 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-01-14 14:29:48.605 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-01-14 14:31:03.872 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-14 14:31:03.947 [main] INFO  [] com.bantanger.test.ApiTest - Starting ApiTest using Java 17.0.13 with PID 29324 (started by 12902 in E:\JavaProjectManager\Persevere\bt-system-center\bt-system-center-app)
2025-01-14 14:31:03.949 [main] INFO  [] com.bantanger.test.ApiTest - The following 1 profile is active: "dev"
2025-01-14 14:31:05.516 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-14 14:31:05.714 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 178 ms. Found 2 JPA repository interfaces.
2025-01-14 14:31:06.988 [main] INFO  [] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-14 14:31:07.190 [main] INFO  [] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-01-14 14:31:07.321 [main] INFO  [] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
